# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-a" "chr19.gtf" "-o" "raw_counts.txt" "sample1_sorted.bam" "sample2_sorted.bam" "control1_sorted.bam" "control2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample1_sorted.bam	sample2_sorted.bam	control1_sorted.bam	control2_sorted.bam
ENSMUSG00000077223	19	56265950	56266077	-	128	0	0	0	0
ENSMUSG00000044387	19;19	23112264;23112723	23112318;23113081	+;+	414	9	16	19	9
ENSMUSG00000033863	19;19;19;19	23118590;23121008;23142047;23142047	23119623;23121336;23145498;23142835	+;+;+;+	4815	850	1469	3348	2898
ENSMUSG00000080626	19	23126795	23126915	+	121	0	1	3	0
ENSMUSG00000025075	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	56275569;56276344;56276354;56276368;56276428;56276428;56286447;56286447;56286447;56286447;56286447;56295205;56295205;56295205;56295205;56297269;56297269;56297269;56297269;56297269;56298453;56298453;56298453;56298453;56298453;56299534;56299534;56299534;56299534;56299534;56300103;56300103;56300103;56300103;56300210;56300246;56301301;56301301;56301301;56301301;56301301;56301380;56302407;56302407;56302407;56302407;56302422;56303659;56303659;56303659;56303659;56303659;56304715;56304715;56304715;56304715;56304715;56304715;56306159;56306159;56306159;56306159;56307903;56307903;56307903;56307903	56275679;56276484;56276484;56276484;56276484;56276484;56286483;56286483;56286483;56286483;56286483;56295315;56295315;56295315;56295315;56297376;56297376;56297376;56297376;56297376;56298569;56298569;56298569;56298569;56298569;56299653;56299653;56299653;56299653;56299653;56300274;56300274;56300274;56300274;56300420;56300274;56301398;56301398;56301398;56301398;56301398;56301398;56302662;56302662;56302662;56302662;56302662;56303801;56303801;56303801;56303801;56303801;56304849;56304849;56304849;56304727;56304849;56304849;56306304;56306304;56306304;56306304;56308061;56308067;56309254;56308521	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3193	0	0	0	0
ENSMUSG00000024943	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	23183815;23186087;23186099;23187615;23187615;23187615;23187788;23187788;23187788;23191115;23191115;23191115;23191119;23191430;23191430;23191430;23191430;23192006;23192006;23192009;23192009;23192099;23192519;23192519;23195769;23195769;23195769;23205538;23205538;23205538;23206279;23206279;23206279;23208922;23208922;23208922;23209183;23209183;23209183;23211327;23211327;23211327;23213238;23213238;23213238;23216249;23216249;23216249;23220000;23220000;23220000;23221219;23221219;23221219;23232041;23232041;23232041;23234852;23234852;23234852;23237011;23237011;23237011;23238697;23238697;23238697;23240942;23240968;23240968;23240968;23243030;23243030;23243030;23246091;23246091;23246091;23249871;23250998;23250998	23186332;23186332;23186332;23187710;23187710;23187710;23187967;23187967;23187967;23191234;23191234;23191234;23191234;23191534;23191534;23191534;23191534;23192104;23192104;23192305;23192104;23192104;23193166;23192563;23195894;23195894;23195894;23205660;23205660;23205660;23206402;23206402;23206402;23209091;23209091;23209091;23209356;23209356;23209356;23211459;23211459;23211459;23213332;23213332;23213332;23216362;23216362;23216362;23220154;23220154;23220154;23221474;23221474;23221474;23232112;23232112;23232112;23235013;23235013;23235013;23237151;23237151;23237151;23238831;23238831;23238831;23241230;23241130;23241130;23241130;23243082;23243082;23243082;23246232;23246232;23246232;23249963;23251261;23251182	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6788	186	254	343	324
ENSMUSG00000117837	19;19;19	23259460;23263537;23277687	23259584;23263800;23277726	+;+;+	429	0	1	0	2
ENSMUSG00000118919	19	23273693	23273799	+	107	0	0	0	0
ENSMUSG00000033207	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	23279973;23280109;23281176;23281176;23288126;23288126;23308250;23308250;23311355;23311355;23327963;23327963;23330668;23330668;23336514;23336514;23341074;23351282;23351282;23354630;23354630;23356027;23356027;23424944;23424944;23425389;23425389	23281050;23281050;23281260;23281260;23288385;23288385;23308402;23308402;23311448;23311448;23328228;23328228;23330811;23330811;23336607;23336607;23341330;23351419;23351419;23354714;23354714;23356298;23356298;23425057;23425057;23425806;23425762	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3458	261	57	28	17
ENSMUSG00000118092	19;19;19;19	23395707;23399358;23400405;23407492	23395805;23399474;23400530;23408292	+;+;+;+	1143	0	0	0	1
